id,name
1,AAACT
2,ABF
3,Ace
4,ADLC Inc
5,Alabama Motor
6,All State Enterprise
7,AM Trans
8,Amazon
9,An Enterprise Inc
10,Archer Express LLC
11,Arka Express Inc
12,Arrive Logistics
13,ASTI Trucking
14,ATS Logistics
15,AVERITT
16,Barr-Nunn Trans
17,Baylor
18,Bent Trans
19,Best Dedicated
20,FedEx Parcel
21,Black Sea Trans.
22,BMM
23,BNS
24,B Bros Transport
25,Butler Trans
26,Cardinal
27,Central States
28,Central Transport
29,CHH Carrier
30,Circle
31,Circle Logistics
32,Compaq Log
33,Convoy
34,Dart
35,Dayton
36,Dedicated Log
37,Delta Freight
38,Dohrn
39,DOXA
40,Energy Transportation
41,Estes
42,FedEx
43,Fischer
44,Fortune Carriers
45,Fremont Contract
46,G&I
47,GetGO
48,Right Choice
49,GlobalTranz
50,GRMEC Expedite
51,Ground Express
52,GTS Trans
53,Hickory
54,Highline
55,HMD Trucking
56,Holland
57,Hub Group Inc
58,Ideality Inc
59,ITF LLC
60,J & R Schugal
61,JAT
62,JB Hunt
63,Kirsch Transport
64,Knapp
65,Knight Transport
66,Landstar Ranger
67,Lipsey Logistics
68,Magellan Transport
69,Magnum Freight
70,Matrix Log
71,MS US INC
72,MW Logistics
73,N & R FREIGHT
74,Napora Inc.
75,NFI
76,BEEMAC
77,Nolan
78,CRST
79,Normandin Transport
80,Old Dominion
81,PAM Trans
82,Paragon Freight
83,Pilot Air Freight
84,PRIMARY EXPRESS
85,Primex
86,Profit Express
87,R & L Carriers
88,R & R Express
89,RAMA Trucking
90,AutoZone Pr
91,REED
92,Roadrunner
93,Rotrans
94,ROMCO
95,Saia
96,Schneider
97,Speed Freight
98,SRD Freight
99,SSM Global Logistics
100,Steam
101,STL Truckers
102,Sutton
103,SWIFT
104,TBD
105,Test Drive
106,Tiger Logistics
107,Titanium
108,Tomeo Trans
109,Trailer Bridge
110,Transcore
111,Transportation One
112,Uber
113,Ultra
114,Universal
115,UPS Ground
116,US Xpress
117,USA Truck
118,Vyvsnia GTI
119,Warren Transport
120,Werner Enterprises
121,West Side Transport
122,Western Flyer Express
123,WM Fleet
124,Worldwide Log
125,XPO
126,Xpress Freight
127,YRC
128,Covenant
129,RXO
130,Sultan Trans
131,ITF Group
132,TQL
133,ATS
135,T-Force
136,FLS
137,Milan GJ Transport
138,Keystone Freight
139,Ease Logistics
142,Navajo
143,Asti
144,Evan's Delv
